RUN	scala.simulations.simulationPerros	simulationperros	1683836782254	 	3.3.1
USER	S_ObtenerListadoPerros	1	START	1683836783515	1683836783515
USER	S_ObtenerListadoPerros	2	START	1683836783539	1683836783539
USER	S_ObtenerListadoPerros	3	START	1683836783566	1683836783566
USER	S_ObtenerListadoPerros	4	START	1683836783582	1683836783582
USER	S_ObtenerListadoPerros	5	START	1683836783599	1683836783599
USER	S_ObtenerListadoPerros	6	START	1683836783628	1683836783628
USER	S_ObtenerListadoPerros	7	START	1683836783644	1683836783644
USER	S_ObtenerListadoPerros	8	START	1683836783659	1683836783659
USER	S_ObtenerListadoPerros	9	START	1683836783676	1683836783676
USER	S_ObtenerListadoPerros	10	START	1683836783692	1683836783692
USER	S_ObtenerListadoPerros	11	START	1683836783709	1683836783709
USER	S_ObtenerListadoPerros	12	START	1683836783738	1683836783738
USER	S_ObtenerListadoPerros	13	START	1683836783754	1683836783754
USER	S_ObtenerListadoPerros	14	START	1683836783769	1683836783769
USER	S_ObtenerListadoPerros	15	START	1683836783789	1683836783789
USER	S_ObtenerListadoPerros	16	START	1683836783816	1683836783816
USER	S_ObtenerListadoPerros	17	START	1683836783819	1683836783819
USER	S_ObtenerListadoPerros	18	START	1683836783846	1683836783846
USER	S_ObtenerListadoPerros	19	START	1683836783861	1683836783861
USER	S_ObtenerListadoPerros	20	START	1683836783879	1683836783879
USER	S_ObtenerListadoPerros	21	START	1683836783906	1683836783906
USER	S_ObtenerListadoPerros	22	START	1683836783922	1683836783922
USER	S_ObtenerListadoPerros	23	START	1683836783939	1683836783939
REQUEST	2		R_ObtenerListadoPerros	1683836783539	1683836783953	OK	 
USER	S_ObtenerListadoPerros	24	START	1683836783968	1683836783968
USER	S_ObtenerListadoPerros	2	END	1683836783539	1683836783970
USER	S_ObtenerListadoPerros	25	START	1683836783983	1683836783983
USER	S_ObtenerListadoPerros	26	START	1683836783999	1683836783999
USER	S_ObtenerListadoPerros	27	START	1683836784014	1683836784014
USER	S_ObtenerListadoPerros	28	START	1683836784030	1683836784030
USER	S_ObtenerListadoPerros	29	START	1683836784059	1683836784059
REQUEST	4		R_ObtenerListadoPerros	1683836783582	1683836784067	OK	 
REQUEST	3		R_ObtenerListadoPerros	1683836783567	1683836784067	OK	 
REQUEST	1		R_ObtenerListadoPerros	1683836783531	1683836784067	OK	 
USER	S_ObtenerListadoPerros	1	END	1683836783515	1683836784068
USER	S_ObtenerListadoPerros	4	END	1683836783582	1683836784068
USER	S_ObtenerListadoPerros	3	END	1683836783566	1683836784068
USER	S_ObtenerListadoPerros	30	START	1683836784074	1683836784074
REQUEST	6		R_ObtenerListadoPerros	1683836783629	1683836784076	OK	 
USER	S_ObtenerListadoPerros	6	END	1683836783628	1683836784077
REQUEST	8		R_ObtenerListadoPerros	1683836783660	1683836784085	OK	 
USER	S_ObtenerListadoPerros	8	END	1683836783659	1683836784086
USER	S_ObtenerListadoPerros	31	START	1683836784090	1683836784090
REQUEST	9		R_ObtenerListadoPerros	1683836783676	1683836784093	OK	 
REQUEST	5		R_ObtenerListadoPerros	1683836783599	1683836784093	OK	 
USER	S_ObtenerListadoPerros	5	END	1683836783599	1683836784094
USER	S_ObtenerListadoPerros	9	END	1683836783676	1683836784094
REQUEST	7		R_ObtenerListadoPerros	1683836783645	1683836784096	OK	 
USER	S_ObtenerListadoPerros	7	END	1683836783644	1683836784096
REQUEST	17		R_ObtenerListadoPerros	1683836783819	1683836784102	OK	 
USER	S_ObtenerListadoPerros	17	END	1683836783819	1683836784103
REQUEST	10		R_ObtenerListadoPerros	1683836783693	1683836784105	OK	 
USER	S_ObtenerListadoPerros	10	END	1683836783692	1683836784106
USER	S_ObtenerListadoPerros	32	START	1683836784109	1683836784109
REQUEST	11		R_ObtenerListadoPerros	1683836783710	1683836784135	OK	 
USER	S_ObtenerListadoPerros	11	END	1683836783709	1683836784136
USER	S_ObtenerListadoPerros	33	START	1683836784138	1683836784138
USER	S_ObtenerListadoPerros	34	START	1683836784152	1683836784152
USER	S_ObtenerListadoPerros	35	START	1683836784168	1683836784168
REQUEST	13		R_ObtenerListadoPerros	1683836783754	1683836784181	OK	 
USER	S_ObtenerListadoPerros	13	END	1683836783754	1683836784182
USER	S_ObtenerListadoPerros	36	START	1683836784183	1683836784183
USER	S_ObtenerListadoPerros	37	START	1683836784199	1683836784199
