ASSERTION	AAEBAAIFAAAAAAAAAAAA
RUN	scala.simulations.ObtenerZorros	obtenerzorros	1683907228716	 	3.3.1
USER	Usuario Estandar	116	START	1683907230680	1683907230680
USER	Usuario Estandar	122	START	1683907230681	1683907230681
USER	Usuario Estandar	126	START	1683907230681	1683907230681
USER	Usuario Estandar	125	START	1683907230681	1683907230681
USER	Usuario Estandar	124	START	1683907230681	1683907230681
USER	Usuario Estandar	113	START	1683907230680	1683907230680
USER	Usuario Estandar	128	START	1683907230681	1683907230681
USER	Usuario Estandar	127	START	1683907230681	1683907230681
USER	Usuario Estandar	129	START	1683907230681	1683907230681
USER	Usuario Estandar	130	START	1683907230681	1683907230681
USER	Usuario Estandar	132	START	1683907230682	1683907230682
USER	Usuario Estandar	131	START	1683907230682	1683907230682
USER	Usuario Estandar	133	START	1683907230682	1683907230682
USER	Usuario Estandar	134	START	1683907230682	1683907230682
USER	Usuario Estandar	135	START	1683907230682	1683907230682
USER	Usuario Estandar	137	START	1683907230682	1683907230682
USER	Usuario Estandar	138	START	1683907230682	1683907230682
USER	Usuario Estandar	139	START	1683907230682	1683907230682
USER	Usuario Estandar	140	START	1683907230682	1683907230682
USER	Usuario Estandar	136	START	1683907230682	1683907230682
USER	Usuario Estandar	142	START	1683907230683	1683907230683
USER	Usuario Estandar	141	START	1683907230682	1683907230682
USER	Usuario Estandar	8	START	1683907230572	1683907230572
USER	Usuario Estandar	143	START	1683907230683	1683907230683
USER	Usuario Estandar	145	START	1683907230683	1683907230683
USER	Usuario Estandar	144	START	1683907230683	1683907230683
USER	Usuario Estandar	147	START	1683907230683	1683907230683
USER	Usuario Estandar	146	START	1683907230683	1683907230683
USER	Usuario Estandar	123	START	1683907230681	1683907230681
USER	Usuario Estandar	148	START	1683907230684	1683907230684
USER	Usuario Estandar	149	START	1683907230684	1683907230684
USER	Usuario Estandar	150	START	1683907230684	1683907230684
USER	Usuario Estandar	151	START	1683907230684	1683907230684
USER	Usuario Estandar	152	START	1683907230684	1683907230684
USER	Usuario Estandar	153	START	1683907230684	1683907230684
USER	Usuario Estandar	154	START	1683907230684	1683907230684
USER	Usuario Estandar	155	START	1683907230684	1683907230684
USER	Usuario Estandar	157	START	1683907230684	1683907230684
USER	Usuario Estandar	156	START	1683907230684	1683907230684
USER	Usuario Estandar	159	START	1683907230684	1683907230684
USER	Usuario Estandar	161	START	1683907230684	1683907230684
USER	Usuario Estandar	160	START	1683907230684	1683907230684
USER	Usuario Estandar	158	START	1683907230684	1683907230684
USER	Usuario Estandar	162	START	1683907230684	1683907230684
USER	Usuario Estandar	163	START	1683907230684	1683907230684
USER	Usuario Estandar	164	START	1683907230684	1683907230684
USER	Usuario Estandar	165	START	1683907230684	1683907230684
USER	Usuario Estandar	166	START	1683907230684	1683907230684
USER	Usuario Estandar	167	START	1683907230684	1683907230684
USER	Usuario Estandar	168	START	1683907230685	1683907230685
USER	Usuario Estandar	169	START	1683907230685	1683907230685
USER	Usuario Estandar	172	START	1683907230685	1683907230685
USER	Usuario Estandar	171	START	1683907230685	1683907230685
USER	Usuario Estandar	170	START	1683907230685	1683907230685
USER	Usuario Estandar	173	START	1683907230685	1683907230685
USER	Usuario Estandar	174	START	1683907230685	1683907230685
USER	Usuario Estandar	175	START	1683907230685	1683907230685
USER	Usuario Estandar	178	START	1683907230685	1683907230685
USER	Usuario Estandar	177	START	1683907230685	1683907230685
USER	Usuario Estandar	176	START	1683907230685	1683907230685
USER	Usuario Estandar	181	START	1683907230685	1683907230685
USER	Usuario Estandar	180	START	1683907230685	1683907230685
USER	Usuario Estandar	179	START	1683907230685	1683907230685
USER	Usuario Estandar	182	START	1683907230686	1683907230686
USER	Usuario Estandar	183	START	1683907230686	1683907230686
USER	Usuario Estandar	186	START	1683907230686	1683907230686
USER	Usuario Estandar	184	START	1683907230686	1683907230686
USER	Usuario Estandar	187	START	1683907230686	1683907230686
USER	Usuario Estandar	189	START	1683907230686	1683907230686
USER	Usuario Estandar	190	START	1683907230686	1683907230686
USER	Usuario Estandar	191	START	1683907230686	1683907230686
USER	Usuario Estandar	192	START	1683907230687	1683907230687
USER	Usuario Estandar	193	START	1683907230687	1683907230687
USER	Usuario Estandar	194	START	1683907230687	1683907230687
USER	Usuario Estandar	195	START	1683907230687	1683907230687
