RUN	scala.simulations.Fomula1	fomula1	1683924551317	 	3.3.1
USER	Proxima carrera F1	1	START	1683924552639	1683924552639
USER	Proxima carrera F1	8	START	1683924552640	1683924552640
USER	Proxima carrera F1	15	START	1683924552643	1683924552643
USER	Proxima carrera F1	25	START	1683924552745	1683924552745
USER	Proxima carrera F1	17	START	1683924552643	1683924552643
USER	Proxima carrera F1	19	START	1683924552659	1683924552659
USER	Proxima carrera F1	10	START	1683924552640	1683924552640
USER	Proxima carrera F1	12	START	1683924552641	1683924552641
USER	Proxima carrera F1	14	START	1683924552642	1683924552642
USER	Proxima carrera F1	26	START	1683924552746	1683924552746
USER	Proxima carrera F1	28	START	1683924552746	1683924552746
USER	Proxima carrera F1	27	START	1683924552746	1683924552746
USER	Proxima carrera F1	29	START	1683924552746	1683924552746
USER	Proxima carrera F1	30	START	1683924552746	1683924552746
USER	Proxima carrera F1	32	START	1683924552747	1683924552747
USER	Proxima carrera F1	35	START	1683924552747	1683924552747
USER	Proxima carrera F1	37	START	1683924552747	1683924552747
USER	Proxima carrera F1	11	START	1683924552641	1683924552641
USER	Proxima carrera F1	36	START	1683924552747	1683924552747
USER	Proxima carrera F1	33	START	1683924552747	1683924552747
USER	Proxima carrera F1	39	START	1683924552747	1683924552747
USER	Proxima carrera F1	38	START	1683924552747	1683924552747
USER	Proxima carrera F1	40	START	1683924552747	1683924552747
USER	Proxima carrera F1	31	START	1683924552746	1683924552746
USER	Proxima carrera F1	43	START	1683924552748	1683924552748
USER	Proxima carrera F1	44	START	1683924552748	1683924552748
USER	Proxima carrera F1	45	START	1683924552748	1683924552748
USER	Proxima carrera F1	47	START	1683924552748	1683924552748
USER	Proxima carrera F1	49	START	1683924552748	1683924552748
USER	Proxima carrera F1	46	START	1683924552748	1683924552748
USER	Proxima carrera F1	42	START	1683924552747	1683924552747
USER	Proxima carrera F1	50	START	1683924552748	1683924552748
USER	Proxima carrera F1	48	START	1683924552748	1683924552748
USER	Proxima carrera F1	21	START	1683924552660	1683924552660
USER	Proxima carrera F1	52	START	1683924552749	1683924552749
USER	Proxima carrera F1	54	START	1683924552749	1683924552749
USER	Proxima carrera F1	56	START	1683924552749	1683924552749
USER	Proxima carrera F1	57	START	1683924552749	1683924552749
USER	Proxima carrera F1	58	START	1683924552749	1683924552749
USER	Proxima carrera F1	41	START	1683924552747	1683924552747
USER	Proxima carrera F1	51	START	1683924552749	1683924552749
USER	Proxima carrera F1	55	START	1683924552749	1683924552749
USER	Proxima carrera F1	59	START	1683924552749	1683924552749
USER	Proxima carrera F1	60	START	1683924552749	1683924552749
USER	Proxima carrera F1	66	START	1683924552750	1683924552750
USER	Proxima carrera F1	65	START	1683924552750	1683924552750
USER	Proxima carrera F1	61	START	1683924552749	1683924552749
USER	Proxima carrera F1	7	START	1683924552640	1683924552640
USER	Proxima carrera F1	68	START	1683924552750	1683924552750
USER	Proxima carrera F1	63	START	1683924552750	1683924552750
USER	Proxima carrera F1	69	START	1683924552750	1683924552750
USER	Proxima carrera F1	20	START	1683924552659	1683924552659
USER	Proxima carrera F1	73	START	1683924552751	1683924552751
USER	Proxima carrera F1	64	START	1683924552750	1683924552750
USER	Proxima carrera F1	74	START	1683924552751	1683924552751
USER	Proxima carrera F1	72	START	1683924552751	1683924552751
USER	Proxima carrera F1	75	START	1683924552751	1683924552751
USER	Proxima carrera F1	76	START	1683924552751	1683924552751
USER	Proxima carrera F1	67	START	1683924552750	1683924552750
USER	Proxima carrera F1	78	START	1683924552751	1683924552751
USER	Proxima carrera F1	79	START	1683924552751	1683924552751
USER	Proxima carrera F1	77	START	1683924552751	1683924552751
USER	Proxima carrera F1	81	START	1683924552752	1683924552752
USER	Proxima carrera F1	83	START	1683924552752	1683924552752
USER	Proxima carrera F1	84	START	1683924552752	1683924552752
USER	Proxima carrera F1	80	START	1683924552751	1683924552751
USER	Proxima carrera F1	71	START	1683924552751	1683924552751
USER	Proxima carrera F1	87	START	1683924552752	1683924552752
USER	Proxima carrera F1	86	START	1683924552752	1683924552752
USER	Proxima carrera F1	89	START	1683924552752	1683924552752
USER	Proxima carrera F1	91	START	1683924552752	1683924552752
USER	Proxima carrera F1	90	START	1683924552752	1683924552752
USER	Proxima carrera F1	88	START	1683924552752	1683924552752
USER	Proxima carrera F1	92	START	1683924552753	1683924552753
USER	Proxima carrera F1	85	START	1683924552752	1683924552752
USER	Proxima carrera F1	95	START	1683924552753	1683924552753
USER	Proxima carrera F1	93	START	1683924552753	1683924552753
USER	Proxima carrera F1	97	START	1683924552753	1683924552753
USER	Proxima carrera F1	82	START	1683924552752	1683924552752
USER	Proxima carrera F1	70	START	1683924552750	1683924552750
USER	Proxima carrera F1	94	START	1683924552753	1683924552753
USER	Proxima carrera F1	99	START	1683924552754	1683924552754
USER	Proxima carrera F1	53	START	1683924552749	1683924552749
USER	Proxima carrera F1	62	START	1683924552749	1683924552749
USER	Proxima carrera F1	96	START	1683924552753	1683924552753
USER	Proxima carrera F1	98	START	1683924552754	1683924552754
USER	Proxima carrera F1	13	START	1683924552641	1683924552641
USER	Proxima carrera F1	6	START	1683924552640	1683924552640
