RUN	scala.simulations.simulationPerros	simulationperros	1683753185576	 	3.3.1
USER	S_ObtenerListadoPerros	6	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	9	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	5	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	1	START	1683753187082	1683753187082
USER	S_ObtenerListadoPerros	4	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	10	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	2	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	3	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	8	START	1683753187083	1683753187083
USER	S_ObtenerListadoPerros	7	START	1683753187083	1683753187083
REQUEST	3		R_ObtenerListadoPerros	1683753187154	1683753187692	OK	 
USER	S_ObtenerListadoPerros	3	END	1683753187083	1683753187710
REQUEST	6		R_ObtenerListadoPerros	1683753187154	1683753187778	OK	 
USER	S_ObtenerListadoPerros	6	END	1683753187083	1683753187779
REQUEST	8		R_ObtenerListadoPerros	1683753187154	1683753187786	OK	 
REQUEST	4		R_ObtenerListadoPerros	1683753187154	1683753187786	OK	 
REQUEST	7		R_ObtenerListadoPerros	1683753187154	1683753187786	OK	 
USER	S_ObtenerListadoPerros	8	END	1683753187083	1683753187787
USER	S_ObtenerListadoPerros	4	END	1683753187083	1683753187787
USER	S_ObtenerListadoPerros	7	END	1683753187083	1683753187787
REQUEST	2		R_ObtenerListadoPerros	1683753187154	1683753187788	OK	 
REQUEST	1		R_ObtenerListadoPerros	1683753187154	1683753187788	OK	 
USER	S_ObtenerListadoPerros	1	END	1683753187082	1683753187788
USER	S_ObtenerListadoPerros	2	END	1683753187083	1683753187788
REQUEST	9		R_ObtenerListadoPerros	1683753187154	1683753187789	OK	 
REQUEST	5		R_ObtenerListadoPerros	1683753187154	1683753187789	OK	 
USER	S_ObtenerListadoPerros	5	END	1683753187083	1683753187790
USER	S_ObtenerListadoPerros	9	END	1683753187083	1683753187790
REQUEST	10		R_ObtenerListadoPerros	1683753187154	1683753187800	OK	 
USER	S_ObtenerListadoPerros	10	END	1683753187083	1683753187801
