RUN	scala.simulations.simulationPerros	simulationperros	1683835832255	 	3.3.1
USER	S_ObtenerListadoPerros	1	START	1683835834170	1683835834170
USER	S_ObtenerListadoPerros	2	START	1683835834570	1683835834570
REQUEST	1		R_ObtenerListadoPerros	1683835834213	1683835834774	OK	 
USER	S_ObtenerListadoPerros	1	END	1683835834170	1683835834813
USER	S_ObtenerListadoPerros	3	START	1683835834864	1683835834864
REQUEST	2		R_ObtenerListadoPerros	1683835834571	1683835834877	OK	 
USER	S_ObtenerListadoPerros	2	END	1683835834570	1683835834879
USER	S_ObtenerListadoPerros	4	START	1683835834942	1683835834942
USER	S_ObtenerListadoPerros	5	START	1683835835114	1683835835114
USER	S_ObtenerListadoPerros	6	START	1683835835160	1683835835160
USER	S_ObtenerListadoPerros	7	START	1683835835207	1683835835207
USER	S_ObtenerListadoPerros	8	START	1683835835269	1683835835269
REQUEST	3		R_ObtenerListadoPerros	1683835834865	1683835835293	OK	 
USER	S_ObtenerListadoPerros	3	END	1683835834864	1683835835295
REQUEST	4		R_ObtenerListadoPerros	1683835834943	1683835835374	OK	 
USER	S_ObtenerListadoPerros	4	END	1683835834942	1683835835376
REQUEST	6		R_ObtenerListadoPerros	1683835835162	1683835835484	OK	 
USER	S_ObtenerListadoPerros	6	END	1683835835160	1683835835486
USER	S_ObtenerListadoPerros	9	START	1683835835540	1683835835540
REQUEST	5		R_ObtenerListadoPerros	1683835835114	1683835835549	OK	 
USER	S_ObtenerListadoPerros	5	END	1683835835114	1683835835551
REQUEST	8		R_ObtenerListadoPerros	1683835835270	1683835835587	OK	 
USER	S_ObtenerListadoPerros	8	END	1683835835269	1683835835589
USER	S_ObtenerListadoPerros	10	START	1683835835630	1683835835630
REQUEST	7		R_ObtenerListadoPerros	1683835835208	1683835835646	OK	 
USER	S_ObtenerListadoPerros	7	END	1683835835207	1683835835648
USER	S_ObtenerListadoPerros	11	START	1683835835673	1683835835673
REQUEST	9		R_ObtenerListadoPerros	1683835835541	1683835835853	OK	 
USER	S_ObtenerListadoPerros	9	END	1683835835540	1683835835855
REQUEST	11		R_ObtenerListadoPerros	1683835835674	1683835836002	OK	 
USER	S_ObtenerListadoPerros	11	END	1683835835673	1683835836004
REQUEST	10		R_ObtenerListadoPerros	1683835835631	1683835836071	OK	 
USER	S_ObtenerListadoPerros	10	END	1683835835630	1683835836073
USER	S_ObtenerListadoPerros	12	START	1683835836171	1683835836171
USER	S_ObtenerListadoPerros	13	START	1683835836330	1683835836330
REQUEST	12		R_ObtenerListadoPerros	1683835836172	1683835836610	OK	 
USER	S_ObtenerListadoPerros	12	END	1683835836171	1683835836611
REQUEST	13		R_ObtenerListadoPerros	1683835836331	1683835836765	OK	 
USER	S_ObtenerListadoPerros	13	END	1683835836330	1683835836766
USER	S_ObtenerListadoPerros	14	START	1683835836904	1683835836904
USER	S_ObtenerListadoPerros	15	START	1683835836982	1683835836982
USER	S_ObtenerListadoPerros	16	START	1683835837000	1683835837000
REQUEST	14		R_ObtenerListadoPerros	1683835836904	1683835837233	OK	 
USER	S_ObtenerListadoPerros	14	END	1683835836904	1683835837234
REQUEST	15		R_ObtenerListadoPerros	1683835836983	1683835837287	OK	 
USER	S_ObtenerListadoPerros	15	END	1683835836982	1683835837288
REQUEST	16		R_ObtenerListadoPerros	1683835837001	1683835837408	OK	 
USER	S_ObtenerListadoPerros	16	END	1683835837000	1683835837410
USER	S_ObtenerListadoPerros	17	START	1683835838022	1683835838022
