RUN	scala.simulations.Fomula1	fomula1	1683925431612	 	3.3.1
USER	Proxima carrera F1	7	START	1683925432901	1683925432901
USER	Proxima carrera F1	1	START	1683925432900	1683925432900
USER	Proxima carrera F1	15	START	1683925432902	1683925432902
USER	Proxima carrera F1	9	START	1683925432901	1683925432901
USER	Proxima carrera F1	14	START	1683925432902	1683925432902
USER	Proxima carrera F1	19	START	1683925432904	1683925432904
USER	Proxima carrera F1	18	START	1683925432904	1683925432904
USER	Proxima carrera F1	20	START	1683925432904	1683925432904
USER	Proxima carrera F1	28	START	1683925432991	1683925432991
USER	Proxima carrera F1	26	START	1683925432991	1683925432991
USER	Proxima carrera F1	29	START	1683925432991	1683925432991
USER	Proxima carrera F1	31	START	1683925432991	1683925432991
USER	Proxima carrera F1	25	START	1683925432991	1683925432991
USER	Proxima carrera F1	27	START	1683925432991	1683925432991
USER	Proxima carrera F1	34	START	1683925432992	1683925432992
USER	Proxima carrera F1	32	START	1683925432992	1683925432992
USER	Proxima carrera F1	33	START	1683925432992	1683925432992
USER	Proxima carrera F1	30	START	1683925432991	1683925432991
USER	Proxima carrera F1	38	START	1683925432992	1683925432992
USER	Proxima carrera F1	37	START	1683925432992	1683925432992
USER	Proxima carrera F1	40	START	1683925432993	1683925432993
USER	Proxima carrera F1	41	START	1683925432993	1683925432993
USER	Proxima carrera F1	44	START	1683925432993	1683925432993
USER	Proxima carrera F1	43	START	1683925432993	1683925432993
USER	Proxima carrera F1	35	START	1683925432992	1683925432992
USER	Proxima carrera F1	45	START	1683925432993	1683925432993
USER	Proxima carrera F1	42	START	1683925432993	1683925432993
USER	Proxima carrera F1	47	START	1683925432994	1683925432994
USER	Proxima carrera F1	49	START	1683925432994	1683925432994
USER	Proxima carrera F1	39	START	1683925432992	1683925432992
USER	Proxima carrera F1	36	START	1683925432992	1683925432992
USER	Proxima carrera F1	46	START	1683925432993	1683925432993
USER	Proxima carrera F1	48	START	1683925432994	1683925432994
USER	Proxima carrera F1	52	START	1683925432994	1683925432994
USER	Proxima carrera F1	55	START	1683925432994	1683925432994
USER	Proxima carrera F1	57	START	1683925432995	1683925432995
USER	Proxima carrera F1	56	START	1683925432995	1683925432995
USER	Proxima carrera F1	54	START	1683925432994	1683925432994
USER	Proxima carrera F1	59	START	1683925432995	1683925432995
USER	Proxima carrera F1	58	START	1683925432995	1683925432995
USER	Proxima carrera F1	53	START	1683925432994	1683925432994
USER	Proxima carrera F1	51	START	1683925432994	1683925432994
USER	Proxima carrera F1	61	START	1683925432996	1683925432996
USER	Proxima carrera F1	64	START	1683925432996	1683925432996
USER	Proxima carrera F1	63	START	1683925432996	1683925432996
USER	Proxima carrera F1	50	START	1683925432994	1683925432994
USER	Proxima carrera F1	66	START	1683925432996	1683925432996
USER	Proxima carrera F1	62	START	1683925432996	1683925432996
USER	Proxima carrera F1	65	START	1683925432996	1683925432996
USER	Proxima carrera F1	60	START	1683925432995	1683925432995
USER	Proxima carrera F1	70	START	1683925432997	1683925432997
USER	Proxima carrera F1	72	START	1683925432997	1683925432997
USER	Proxima carrera F1	73	START	1683925432997	1683925432997
USER	Proxima carrera F1	71	START	1683925432997	1683925432997
USER	Proxima carrera F1	74	START	1683925432997	1683925432997
USER	Proxima carrera F1	69	START	1683925432997	1683925432997
USER	Proxima carrera F1	68	START	1683925432996	1683925432996
USER	Proxima carrera F1	77	START	1683925432998	1683925432998
USER	Proxima carrera F1	76	START	1683925432998	1683925432998
USER	Proxima carrera F1	75	START	1683925432997	1683925432997
USER	Proxima carrera F1	80	START	1683925432998	1683925432998
USER	Proxima carrera F1	82	START	1683925432998	1683925432998
USER	Proxima carrera F1	81	START	1683925432998	1683925432998
USER	Proxima carrera F1	83	START	1683925432998	1683925432998
USER	Proxima carrera F1	85	START	1683925432999	1683925432999
USER	Proxima carrera F1	86	START	1683925432999	1683925432999
USER	Proxima carrera F1	84	START	1683925432999	1683925432999
USER	Proxima carrera F1	87	START	1683925432999	1683925432999
USER	Proxima carrera F1	88	START	1683925432999	1683925432999
USER	Proxima carrera F1	91	START	1683925432999	1683925432999
USER	Proxima carrera F1	78	START	1683925432998	1683925432998
USER	Proxima carrera F1	93	START	1683925433000	1683925433000
USER	Proxima carrera F1	79	START	1683925432998	1683925432998
USER	Proxima carrera F1	94	START	1683925433000	1683925433000
USER	Proxima carrera F1	95	START	1683925433001	1683925433001
USER	Proxima carrera F1	90	START	1683925432999	1683925432999
USER	Proxima carrera F1	96	START	1683925433001	1683925433001
USER	Proxima carrera F1	97	START	1683925433001	1683925433001
USER	Proxima carrera F1	89	START	1683925432999	1683925432999
USER	Proxima carrera F1	98	START	1683925433001	1683925433001
