RUN	scala.simulations.Fomula1	fomula1	1683925643893	 	3.3.1
USER	Proxima carrera F1	20	START	1683925645045	1683925645045
USER	Proxima carrera F1	6	START	1683925645036	1683925645036
USER	Proxima carrera F1	9	START	1683925645036	1683925645036
USER	Proxima carrera F1	2	START	1683925645035	1683925645035
USER	Proxima carrera F1	13	START	1683925645043	1683925645043
USER	Proxima carrera F1	24	START	1683925645059	1683925645059
USER	Proxima carrera F1	11	START	1683925645036	1683925645036
USER	Proxima carrera F1	8	START	1683925645036	1683925645036
USER	Proxima carrera F1	14	START	1683925645043	1683925645043
USER	Proxima carrera F1	31	START	1683925645120	1683925645120
USER	Proxima carrera F1	27	START	1683925645120	1683925645120
USER	Proxima carrera F1	26	START	1683925645120	1683925645120
USER	Proxima carrera F1	32	START	1683925645120	1683925645120
USER	Proxima carrera F1	35	START	1683925645121	1683925645121
USER	Proxima carrera F1	28	START	1683925645120	1683925645120
USER	Proxima carrera F1	25	START	1683925645119	1683925645119
USER	Proxima carrera F1	33	START	1683925645120	1683925645120
USER	Proxima carrera F1	38	START	1683925645121	1683925645121
USER	Proxima carrera F1	37	START	1683925645121	1683925645121
USER	Proxima carrera F1	36	START	1683925645121	1683925645121
USER	Proxima carrera F1	40	START	1683925645122	1683925645122
USER	Proxima carrera F1	41	START	1683925645122	1683925645122
USER	Proxima carrera F1	34	START	1683925645120	1683925645120
USER	Proxima carrera F1	39	START	1683925645121	1683925645121
USER	Proxima carrera F1	44	START	1683925645122	1683925645122
USER	Proxima carrera F1	29	START	1683925645120	1683925645120
USER	Proxima carrera F1	45	START	1683925645122	1683925645122
USER	Proxima carrera F1	46	START	1683925645122	1683925645122
USER	Proxima carrera F1	47	START	1683925645122	1683925645122
USER	Proxima carrera F1	43	START	1683925645122	1683925645122
USER	Proxima carrera F1	50	START	1683925645123	1683925645123
USER	Proxima carrera F1	51	START	1683925645123	1683925645123
USER	Proxima carrera F1	52	START	1683925645123	1683925645123
USER	Proxima carrera F1	42	START	1683925645122	1683925645122
USER	Proxima carrera F1	49	START	1683925645123	1683925645123
USER	Proxima carrera F1	55	START	1683925645123	1683925645123
USER	Proxima carrera F1	53	START	1683925645123	1683925645123
USER	Proxima carrera F1	56	START	1683925645123	1683925645123
USER	Proxima carrera F1	59	START	1683925645124	1683925645124
USER	Proxima carrera F1	30	START	1683925645120	1683925645120
USER	Proxima carrera F1	58	START	1683925645124	1683925645124
USER	Proxima carrera F1	54	START	1683925645123	1683925645123
USER	Proxima carrera F1	62	START	1683925645124	1683925645124
USER	Proxima carrera F1	64	START	1683925645124	1683925645124
USER	Proxima carrera F1	61	START	1683925645124	1683925645124
USER	Proxima carrera F1	65	START	1683925645125	1683925645125
USER	Proxima carrera F1	66	START	1683925645125	1683925645125
USER	Proxima carrera F1	63	START	1683925645124	1683925645124
USER	Proxima carrera F1	68	START	1683925645125	1683925645125
USER	Proxima carrera F1	69	START	1683925645125	1683925645125
USER	Proxima carrera F1	71	START	1683925645125	1683925645125
USER	Proxima carrera F1	57	START	1683925645124	1683925645124
USER	Proxima carrera F1	67	START	1683925645125	1683925645125
USER	Proxima carrera F1	73	START	1683925645126	1683925645126
USER	Proxima carrera F1	72	START	1683925645125	1683925645125
USER	Proxima carrera F1	60	START	1683925645124	1683925645124
USER	Proxima carrera F1	76	START	1683925645126	1683925645126
USER	Proxima carrera F1	77	START	1683925645126	1683925645126
USER	Proxima carrera F1	48	START	1683925645122	1683925645122
USER	Proxima carrera F1	75	START	1683925645126	1683925645126
USER	Proxima carrera F1	79	START	1683925645127	1683925645127
