RUN	scala.simulations.simulationPerros	simulationperros	1683754015719	 	3.3.1
USER	S_ObtenerListadoPerros	6	START	1683754017170	1683754017170
USER	S_ObtenerListadoPerros	7	START	1683754017170	1683754017170
USER	S_ObtenerListadoPerros	5	START	1683754017169	1683754017169
USER	S_ObtenerListadoPerros	2	START	1683754017169	1683754017169
USER	S_ObtenerListadoPerros	3	START	1683754017169	1683754017169
USER	S_ObtenerListadoPerros	1	START	1683754017169	1683754017169
USER	S_ObtenerListadoPerros	4	START	1683754017169	1683754017169
USER	S_ObtenerListadoPerros	10	START	1683754017170	1683754017170
USER	S_ObtenerListadoPerros	8	START	1683754017170	1683754017170
USER	S_ObtenerListadoPerros	9	START	1683754017170	1683754017170
REQUEST	2		R_ObtenerListadoPerros	1683754017234	1683754017751	OK	 
REQUEST	8		R_ObtenerListadoPerros	1683754017234	1683754017751	OK	 
REQUEST	6		R_ObtenerListadoPerros	1683754017233	1683754017760	OK	 
USER	S_ObtenerListadoPerros	2	END	1683754017169	1683754017801
USER	S_ObtenerListadoPerros	8	END	1683754017170	1683754017801
USER	S_ObtenerListadoPerros	6	END	1683754017170	1683754017801
REQUEST	5		R_ObtenerListadoPerros	1683754017234	1683754017833	OK	 
REQUEST	3		R_ObtenerListadoPerros	1683754017234	1683754017833	OK	 
REQUEST	10		R_ObtenerListadoPerros	1683754017233	1683754017833	OK	 
USER	S_ObtenerListadoPerros	5	END	1683754017169	1683754017834
USER	S_ObtenerListadoPerros	3	END	1683754017169	1683754017834
USER	S_ObtenerListadoPerros	10	END	1683754017170	1683754017834
REQUEST	1		R_ObtenerListadoPerros	1683754017234	1683754017848	OK	 
USER	S_ObtenerListadoPerros	1	END	1683754017169	1683754017849
REQUEST	9		R_ObtenerListadoPerros	1683754017233	1683754017857	OK	 
USER	S_ObtenerListadoPerros	9	END	1683754017170	1683754017858
REQUEST	4		R_ObtenerListadoPerros	1683754017234	1683754017867	OK	 
REQUEST	7		R_ObtenerListadoPerros	1683754017234	1683754017867	OK	 
USER	S_ObtenerListadoPerros	7	END	1683754017170	1683754017868
USER	S_ObtenerListadoPerros	4	END	1683754017169	1683754017868
