RUN	scala.simulations.ObtenerZorrosV2	obtenerzorrosv2	1683913371836	 	3.3.1
USER	Usuario Estandar	1	START	1683913373125	1683913373125
USER	Usuario Estandar	2	START	1683913373240	1683913373240
USER	Usuario Estandar	3	START	1683913373334	1683913373334
USER	Usuario Estandar	4	START	1683913373444	1683913373444
USER	Usuario Estandar	5	START	1683913373537	1683913373537
REQUEST	1		PeticionZorros	1683913373162	1683913373532	OK	 
USER	Usuario Estandar	1	END	1683913373125	1683913373554
USER	Usuario Estandar	6	START	1683913373634	1683913373634
USER	Usuario Estandar	7	START	1683913373742	1683913373742
USER	Usuario Estandar	8	START	1683913373835	1683913373835
USER	Usuario Estandar	9	START	1683913373934	1683913373934
USER	Usuario Estandar	10	START	1683913374038	1683913374038
USER	Usuario Estandar	11	START	1683913374134	1683913374134
USER	Usuario Estandar	12	START	1683913374241	1683913374241
USER	Usuario Estandar	13	START	1683913374334	1683913374334
USER	Usuario Estandar	14	START	1683913374444	1683913374444
REQUEST	2		PeticionZorros	1683913374102	1683913374449	OK	 
USER	Usuario Estandar	2	END	1683913373240	1683913374450
USER	Usuario Estandar	15	START	1683913374538	1683913374538
USER	Usuario Estandar	16	START	1683913374634	1683913374634
USER	Usuario Estandar	17	START	1683913374744	1683913374744
USER	Usuario Estandar	18	START	1683913374837	1683913374837
REQUEST	3		PeticionZorros	1683913374604	1683913374880	OK	 
USER	Usuario Estandar	3	END	1683913373334	1683913374881
USER	Usuario Estandar	19	START	1683913374934	1683913374934
USER	Usuario Estandar	20	START	1683913375042	1683913375042
USER	Usuario Estandar	21	START	1683913375134	1683913375134
USER	Usuario Estandar	22	START	1683913375244	1683913375244
USER	Usuario Estandar	23	START	1683913375337	1683913375337
USER	Usuario Estandar	24	START	1683913375434	1683913375434
REQUEST	4		PeticionZorros	1683913375103	1683913375437	OK	 
USER	Usuario Estandar	4	END	1683913373444	1683913375438
USER	Usuario Estandar	25	START	1683913375539	1683913375539
USER	Usuario Estandar	26	START	1683913375634	1683913375634
USER	Usuario Estandar	27	START	1683913375744	1683913375744
USER	Usuario Estandar	28	START	1683913375838	1683913375838
REQUEST	5		PeticionZorros	1683913375446	1683913375839	OK	 
USER	Usuario Estandar	5	END	1683913373537	1683913375840
USER	Usuario Estandar	29	START	1683913375934	1683913375934
USER	Usuario Estandar	30	START	1683913376039	1683913376039
REQUEST	6		PeticionZorros	1683913375776	1683913376130	OK	 
USER	Usuario Estandar	6	END	1683913373634	1683913376132
USER	Usuario Estandar	31	START	1683913376134	1683913376134
USER	Usuario Estandar	32	START	1683913376240	1683913376240
USER	Usuario Estandar	33	START	1683913376334	1683913376334
REQUEST	7		PeticionZorros	1683913376101	1683913376366	OK	 
USER	Usuario Estandar	7	END	1683913373742	1683913376368
USER	Usuario Estandar	34	START	1683913376443	1683913376443
USER	Usuario Estandar	35	START	1683913376536	1683913376536
USER	Usuario Estandar	36	START	1683913376634	1683913376634
USER	Usuario Estandar	37	START	1683913376740	1683913376740
USER	Usuario Estandar	38	START	1683913376834	1683913376834
REQUEST	8		PeticionZorros	1683913376365	1683913376838	OK	 
USER	Usuario Estandar	8	END	1683913373835	1683913376840
REQUEST	9		PeticionZorros	1683913376604	1683913376882	OK	 
USER	Usuario Estandar	9	END	1683913373934	1683913376884
USER	Usuario Estandar	39	START	1683913376942	1683913376942
USER	Usuario Estandar	40	START	1683913377036	1683913377036
USER	Usuario Estandar	41	START	1683913377144	1683913377144
USER	Usuario Estandar	42	START	1683913377238	1683913377238
REQUEST	10		PeticionZorros	1683913376865	1683913377282	OK	 
USER	Usuario Estandar	10	END	1683913374038	1683913377282
USER	Usuario Estandar	43	START	1683913377334	1683913377334
REQUEST	11		PeticionZorros	1683913377098	1683913377392	OK	 
USER	Usuario Estandar	11	END	1683913374134	1683913377394
USER	Usuario Estandar	44	START	1683913377441	1683913377441
USER	Usuario Estandar	45	START	1683913377534	1683913377534
REQUEST	12		PeticionZorros	1683913377317	1683913377625	OK	 
USER	Usuario Estandar	12	END	1683913374241	1683913377626
USER	Usuario Estandar	46	START	1683913377643	1683913377643
USER	Usuario Estandar	47	START	1683913377735	1683913377735
USER	Usuario Estandar	48	START	1683913377844	1683913377844
REQUEST	13		PeticionZorros	1683913377520	1683913377855	OK	 
USER	Usuario Estandar	13	END	1683913374334	1683913377856
USER	Usuario Estandar	49	START	1683913377937	1683913377937
USER	Usuario Estandar	50	START	1683913378034	1683913378034
REQUEST	14		PeticionZorros	1683913377720	1683913378075	OK	 
USER	Usuario Estandar	14	END	1683913374444	1683913378076
USER	Usuario Estandar	51	START	1683913378141	1683913378141
REQUEST	15		PeticionZorros	1683913377921	1683913378178	OK	 
USER	Usuario Estandar	15	END	1683913374538	1683913378180
USER	Usuario Estandar	52	START	1683913378234	1683913378234
USER	Usuario Estandar	53	START	1683913378327	1683913378327
USER	Usuario Estandar	54	START	1683913378424	1683913378424
REQUEST	16		PeticionZorros	1683913378115	1683913378471	OK	 
USER	Usuario Estandar	16	END	1683913374634	1683913378472
USER	Usuario Estandar	55	START	1683913378531	1683913378531
USER	Usuario Estandar	56	START	1683913378627	1683913378627
REQUEST	17		PeticionZorros	1683913378312	1683913378655	OK	 
USER	Usuario Estandar	17	END	1683913374744	1683913378656
USER	Usuario Estandar	57	START	1683913378732	1683913378732
USER	Usuario Estandar	58	START	1683913378826	1683913378826
